player,team,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,agent,map,tourney_type,game_id,match_id,role_agent,total_round,ot,win_lose,clutches
Lmemore,RRQ,2,0,0,0,0,0,0,0,0,Killjoy,Lotus,League Play: Week 1,119525,184460,Sentinel,19,No,lose,0
2ge,RRQ,1,1,0,0,0,0,0,0,0,Omen,Lotus,League Play: Week 1,119525,184460,Controller,19,No,lose,0
k1Ng,GEN,2,0,1,0,0,1,0,0,0,Killjoy,Lotus,League Play: Week 1,119525,184460,Sentinel,19,No,win,1
TS,GEN,2,0,0,0,0,0,0,0,0,Omen,Lotus,League Play: Week 1,119525,184460,Controller,19,No,win,0
Sylvan,GEN,1,1,0,0,0,0,0,0,0,Fade,Lotus,League Play: Week 1,119525,184460,Initiator,19,No,win,0
GodDead,GEN,1,2,0,0,0,0,0,0,0,Kayo,Lotus,League Play: Week 1,119525,184460,Initiator,19,No,win,0
Meteor,GEN,4,0,2,0,0,0,0,0,0,Jett,Lotus,League Play: Week 1,119525,184460,Duelist,19,No,win,0
Dep,ZETA,3,1,0,0,0,0,0,0,0,Jett,Haven,League Play: Week 2,119527,184461,Duelist,23,No,lose,0
Laz,ZETA,1,0,0,0,0,0,0,0,0,Sova,Haven,League Play: Week 2,119527,184461,Initiator,23,No,lose,0
crow,ZETA,4,0,0,0,0,0,0,0,0,Breach,Haven,League Play: Week 2,119527,184461,Initiator,23,No,lose,0
TENNN,ZETA,2,4,0,0,1,0,1,0,0,Killjoy,Haven,League Play: Week 2,119527,184461,Sentinel,23,No,lose,3
SugarZ3ro,ZETA,1,1,0,0,0,0,0,0,0,Omen,Haven,League Play: Week 2,119527,184461,Controller,23,No,lose,0
xffero,RRQ,2,2,0,0,1,0,0,0,0,Sova,Haven,League Play: Week 2,119527,184461,Initiator,23,No,win,1
fl1pzjder,RRQ,3,1,0,0,0,0,0,0,0,Breach,Haven,League Play: Week 2,119527,184461,Initiator,23,No,win,0
EJAY,RRQ,2,0,1,0,0,0,0,0,0,Jett,Haven,League Play: Week 2,119527,184461,Duelist,23,No,win,0
Lmemore,RRQ,6,0,0,0,0,0,0,0,0,Killjoy,Haven,League Play: Week 2,119527,184461,Sentinel,23,No,win,0
2ge,RRQ,3,1,0,0,1,0,0,0,0,Astra,Haven,League Play: Week 2,119527,184461,Controller,23,No,win,1
Dep,ZETA,3,2,0,1,1,1,0,0,0,Jett,Ascent,League Play: Week 2,119528,184461,Duelist,23,No,win,2
Laz,ZETA,0,1,0,0,1,1,0,0,0,Sova,Ascent,League Play: Week 2,119528,184461,Initiator,23,No,win,2
crow,ZETA,1,0,0,0,0,0,0,0,0,Kayo,Ascent,League Play: Week 2,119528,184461,Initiator,23,No,win,0
TENNN,ZETA,3,2,1,0,0,1,0,0,0,Killjoy,Ascent,League Play: Week 2,119528,184461,Sentinel,23,No,win,1
SugarZ3ro,ZETA,5,0,0,0,0,0,0,0,0,Omen,Ascent,League Play: Week 2,119528,184461,Controller,23,No,win,0
xffero,RRQ,5,1,0,0,0,0,0,0,0,Sova,Ascent,League Play: Week 2,119528,184461,Initiator,23,No,lose,0
fl1pzjder,RRQ,1,0,0,0,0,0,0,0,0,Kayo,Ascent,League Play: Week 2,119528,184461,Initiator,23,No,lose,0
EJAY,RRQ,4,4,0,0,1,0,0,0,0,Jett,Ascent,League Play: Week 2,119528,184461,Duelist,23,No,lose,1
Lmemore,RRQ,4,0,0,0,0,0,0,0,0,Killjoy,Ascent,League Play: Week 2,119528,184461,Sentinel,23,No,lose,0
2ge,RRQ,1,0,0,0,0,0,0,0,0,Astra,Ascent,League Play: Week 2,119528,184461,Controller,23,No,lose,0
Dep,ZETA,1,1,0,0,0,0,0,0,0,Neon,Lotus,League Play: Week 2,119529,184461,Duelist,18,No,win,0
Laz,ZETA,0,0,0,0,0,0,0,0,0,Fade,Lotus,League Play: Week 2,119529,184461,Initiator,18,No,win,0
crow,ZETA,4,0,0,0,0,0,0,0,0,Breach,Lotus,League Play: Week 2,119529,184461,Initiator,18,No,win,0
TENNN,ZETA,3,2,0,0,1,0,0,0,0,Killjoy,Lotus,League Play: Week 2,119529,184461,Sentinel,18,No,win,1
SugarZ3ro,ZETA,4,3,0,0,1,0,0,0,0,Omen,Lotus,League Play: Week 2,119529,184461,Controller,18,No,win,1
xffero,RRQ,1,1,0,0,0,0,0,0,0,Skye,Lotus,League Play: Week 2,119529,184461,Initiator,18,No,lose,0
fl1pzjder,RRQ,3,1,0,0,0,0,0,0,0,Breach,Lotus,League Play: Week 2,119529,184461,Initiator,18,No,lose,0
EJAY,RRQ,0,1,0,0,0,0,0,0,0,Jett,Lotus,League Play: Week 2,119529,184461,Duelist,18,No,lose,0
Lmemore,RRQ,2,0,0,0,0,0,0,0,0,Killjoy,Lotus,League Play: Week 2,119529,184461,Sentinel,18,No,lose,0
2ge,RRQ,0,2,0,0,0,0,0,0,0,Omen,Lotus,League Play: Week 2,119529,184461,Controller,18,No,lose,0
Patt,TLN,3,1,0,0,1,0,0,0,0,Gekko,Ascent,League Play: Week 2,119530,184462,Initiator,21,No,lose,1
Sushiboys,TLN,3,0,0,0,0,0,0,0,0,Killjoy,Ascent,League Play: Week 2,119530,184462,Sentinel,21,No,lose,0
Crws,TLN,3,0,1,0,0,0,0,0,0,Omen,Ascent,League Play: Week 2,119530,184462,Controller,21,No,lose,0
foxz,TLN,2,0,0,0,0,0,0,0,0,Fade,Ascent,League Play: Week 2,119530,184462,Initiator,21,No,lose,0
garnetS,TLN,1,0,0,0,0,0,0,0,0,Jett,Ascent,League Play: Week 2,119530,184462,Duelist,21,No,lose,0
xeta,T1,1,2,0,0,1,0,0,0,0,Sova,Ascent,League Play: Week 2,119530,184462,Initiator,21,No,win,1
Munchkin,T1,1,2,1,0,0,0,0,0,0,Killjoy,Ascent,League Play: Week 2,119530,184462,Sentinel,21,No,win,0
Sayaplayer,T1,7,2,0,0,0,0,0,0,0,Jett,Ascent,League Play: Week 2,119530,184462,Duelist,21,No,win,0
ban,T1,3,1,0,0,0,1,0,0,0,Omen,Ascent,League Play: Week 2,119530,184462,Controller,21,No,win,1
Carpe,T1,3,0,0,0,0,0,0,0,0,Kayo,Ascent,League Play: Week 2,119530,184462,Initiator,21,No,win,0
Patt,TLN,3,0,0,0,0,0,0,0,0,Breach,Haven,League Play: Week 2,119531,184462,Initiator,19,No,lose,0
Sushiboys,TLN,3,1,0,0,0,0,0,0,0,Killjoy,Haven,League Play: Week 2,119531,184462,Sentinel,19,No,lose,0
Crws,TLN,5,0,0,0,0,0,0,0,0,Omen,Haven,League Play: Week 2,119531,184462,Controller,19,No,lose,0
foxz,TLN,3,0,0,0,0,0,0,0,0,Gekko,Haven,League Play: Week 2,119531,184462,Initiator,19,No,lose,0
garnetS,TLN,4,0,0,0,0,0,0,0,0,Jett,Haven,League Play: Week 2,119531,184462,Duelist,19,No,lose,0
xeta,T1,4,1,0,0,0,0,0,0,0,Sova,Haven,League Play: Week 2,119531,184462,Initiator,19,No,win,0
iNTRO,T1,2,1,0,0,0,0,0,0,0,Omen,Haven,League Play: Week 2,119531,184462,Controller,19,No,win,0
Munchkin,T1,3,1,0,0,2,0,0,0,0,Killjoy,Haven,League Play: Week 2,119531,184462,Sentinel,19,No,win,2
Sayaplayer,T1,4,2,0,0,2,0,0,0,0,Jett,Haven,League Play: Week 2,119531,184462,Duelist,19,No,win,2
Carpe,T1,2,0,0,0,0,0,0,0,0,Breach,Haven,League Play: Week 2,119531,184462,Initiator,19,No,win,0
BORKUM,TS,4,1,0,0,0,0,0,0,0,Omen,Haven,League Play: Week 2,119533,184463,Controller,24,Yes,lose,0
JessieVash,TS,3,0,0,0,0,0,0,0,0,Sova,Haven,League Play: Week 2,119533,184463,Initiator,24,Yes,lose,0
DubsteP,TS,4,2,0,0,2,0,0,0,0,Killjoy,Haven,League Play: Week 2,119533,184463,Sentinel,24,Yes,lose,2
Jremy,TS,3,1,0,0,0,0,0,0,0,Raze,Haven,League Play: Week 2,119533,184463,Duelist,24,Yes,lose,0
invy,TS,2,0,0,0,0,0,0,0,0,Breach,Haven,League Play: Week 2,119533,184463,Initiator,24,Yes,lose,0
Jinggg,PRX,4,2,0,0,1,0,0,0,0,Raze,Haven,League Play: Week 2,119533,184463,Duelist,24,Yes,win,1
mindfreak,PRX,0,0,0,0,0,0,0,0,0,Omen,Haven,League Play: Week 2,119533,184463,Controller,24,Yes,win,0
f0rsakeN,PRX,1,0,0,0,0,0,0,0,0,Yoru,Haven,League Play: Week 2,119533,184463,Duelist,24,Yes,win,0
Benkai,PRX,4,1,0,0,0,0,0,0,0,Cypher,Haven,League Play: Week 2,119533,184463,Sentinel,24,Yes,win,0
d4v41,PRX,5,2,0,0,0,0,0,0,0,Sova,Haven,League Play: Week 2,119533,184463,Initiator,24,Yes,win,0
BORKUM,TS,3,2,0,0,0,0,1,0,0,Brimstone,Fracture,League Play: Week 2,119534,184463,Controller,24,Yes,win,2
JessieVash,TS,3,0,0,0,0,0,0,0,0,Fade,Fracture,League Play: Week 2,119534,184463,Initiator,24,Yes,win,0
DubsteP,TS,3,2,0,0,1,1,0,0,0,Cypher,Fracture,League Play: Week 2,119534,184463,Sentinel,24,Yes,win,2
Jremy,TS,1,0,0,0,0,0,0,0,0,Raze,Fracture,League Play: Week 2,119534,184463,Duelist,24,Yes,win,0
invy,TS,1,2,1,0,0,0,0,0,0,Breach,Fracture,League Play: Week 2,119534,184463,Initiator,24,Yes,win,0
Jinggg,PRX,4,3,0,0,0,0,0,0,0,Raze,Fracture,League Play: Week 2,119534,184463,Duelist,24,Yes,lose,0
mindfreak,PRX,4,0,0,0,0,1,0,0,0,Viper,Fracture,League Play: Week 2,119534,184463,Controller,24,Yes,lose,1
f0rsakeN,PRX,2,1,1,0,0,0,0,0,0,Neon,Fracture,League Play: Week 2,119534,184463,Duelist,24,Yes,lose,0
Benkai,PRX,2,1,0,0,0,0,0,0,0,Breach,Fracture,League Play: Week 2,119534,184463,Initiator,24,Yes,lose,0
d4v41,PRX,2,1,0,0,0,0,1,0,0,Killjoy,Fracture,League Play: Week 2,119534,184463,Sentinel,24,Yes,lose,2
BORKUM,TS,2,0,0,0,0,0,0,0,0,Astra,Split,League Play: Week 2,119535,184463,Controller,23,No,win,0
JessieVash,TS,2,0,0,0,0,1,0,0,0,Cypher,Split,League Play: Week 2,119535,184463,Sentinel,23,No,win,1
DubsteP,TS,4,2,0,0,0,0,0,0,0,Jett,Split,League Play: Week 2,119535,184463,Duelist,23,No,win,0
Jremy,TS,4,3,0,0,0,0,0,0,0,Raze,Split,League Play: Week 2,119535,184463,Duelist,23,No,win,0
invy,TS,2,0,0,0,0,0,0,0,0,Skye,Split,League Play: Week 2,119535,184463,Initiator,23,No,win,0
Jinggg,PRX,3,2,0,1,0,0,0,1,0,Raze,Split,League Play: Week 2,119535,184463,Duelist,23,No,lose,1
mindfreak,PRX,0,0,0,0,0,0,0,0,0,Astra,Split,League Play: Week 2,119535,184463,Controller,23,No,lose,0
f0rsakeN,PRX,3,0,0,0,0,0,0,0,0,Jett,Split,League Play: Week 2,119535,184463,Duelist,23,No,lose,0
Benkai,PRX,3,0,0,0,0,0,0,0,0,Viper,Split,League Play: Week 2,119535,184463,Controller,23,No,lose,0
d4v41,PRX,3,1,0,0,0,0,0,0,0,Skye,Split,League Play: Week 2,119535,184463,Initiator,23,No,lose,0
k1Ng,GEN,3,1,0,0,0,0,0,0,0,Killjoy,Lotus,League Play: Week 2,119536,184465,Sentinel,21,No,win,0
TS,GEN,6,0,0,0,1,0,0,0,0,Omen,Lotus,League Play: Week 2,119536,184465,Controller,21,No,win,1
Sylvan,GEN,4,0,0,0,1,0,0,0,0,Fade,Lotus,League Play: Week 2,119536,184465,Initiator,21,No,win,1
GodDead,GEN,3,0,0,0,0,1,0,0,0,Kayo,Lotus,League Play: Week 2,119536,184465,Initiator,21,No,win,1
Meteor,GEN,1,2,0,0,0,0,1,0,0,Jett,Lotus,League Play: Week 2,119536,184465,Duelist,21,No,win,2
takej,DFM,3,1,0,0,0,0,0,0,0,Viper,Lotus,League Play: Week 2,119536,184465,Controller,21,No,lose,0
Reita,DFM,2,0,0,0,0,0,0,0,0,Cypher,Lotus,League Play: Week 2,119536,184465,Sentinel,21,No,lose,0
Suggest,DFM,3,1,0,1,0,0,0,0,0,Raze,Lotus,League Play: Week 2,119536,184465,Duelist,21,No,lose,0
Anthem,DFM,3,0,0,0,0,0,0,0,0,Skye,Lotus,League Play: Week 2,119536,184465,Initiator,21,No,lose,0
xnfri,DFM,3,1,0,0,0,0,0,0,0,Omen,Lotus,League Play: Week 2,119536,184465,Controller,21,No,lose,0
