team,pistol_win,eco_round,eco_win,semi_eco_round,semi_eco_win,semi_buy_round,semi_buy_win,buy_round,buy_win,game_id,tourney_type,map,match_id,total_round,ot,win_lose
GEN,1.0,3.0,1.0,2.0,1.0,6.0,3.0,9.0,2.0,119603.0,League Play: Week 7,Lotus,184488.0,20,No,lose
ZETA,0.0,4.0,0.0,1.0,1.0,8.0,3.0,6.0,2.0,119605.0,League Play: Week 7,Split,184489.0,19,No,lose
PRX,2.0,2.0,2.0,0.0,0.0,7.0,5.0,10.0,6.0,119605.0,League Play: Week 7,Split,184489.0,19,No,win
ZETA,1.0,3.0,1.0,1.0,0.0,11.0,5.0,8.0,4.0,119606.0,League Play: Week 7,Ascent,184489.0,23,No,lose
PRX,1.0,3.0,1.0,1.0,0.0,4.0,2.0,15.0,10.0,119606.0,League Play: Week 7,Ascent,184489.0,23,No,win
RRQ,2.0,2.0,2.0,2.0,1.0,6.0,2.0,13.0,8.0,119608.0,League Play: Week 7,Fracture,184490.0,23,No,win
GES,0.0,4.0,0.0,1.0,0.0,6.0,4.0,12.0,6.0,119608.0,League Play: Week 7,Fracture,184490.0,23,No,lose
RRQ,0.0,4.0,1.0,0.0,0.0,5.0,4.0,15.0,8.0,119609.0,League Play: Week 7,Pearl,184490.0,24,Yes,win
GES,2.0,4.0,2.0,1.0,0.0,12.0,6.0,7.0,3.0,119609.0,League Play: Week 7,Pearl,184490.0,24,Yes,lose
TS,0.0,4.0,0.0,3.0,0.0,1.0,0.0,9.0,4.0,119611.0,League Play: Week 7,Lotus,184491.0,17,No,lose
T1,2.0,2.0,2.0,0.0,0.0,5.0,4.0,10.0,7.0,119611.0,League Play: Week 7,Lotus,184491.0,17,No,win
TS,2.0,2.0,2.0,3.0,0.0,7.0,3.0,9.0,3.0,119612.0,League Play: Week 7,Bind,184491.0,21,No,lose
T1,0.0,4.0,1.0,0.0,0.0,2.0,2.0,15.0,10.0,119612.0,League Play: Week 7,Bind,184491.0,21,No,win
DRX,0.0,4.0,1.0,1.0,0.0,1.0,1.0,15.0,11.0,119614.0,League Play: Week 7,Fracture,184492.0,21,No,win
DFM,2.0,2.0,2.0,2.0,1.0,6.0,2.0,11.0,3.0,119614.0,League Play: Week 7,Fracture,184492.0,21,No,lose
DRX,2.0,2.0,2.0,1.0,1.0,4.0,4.0,10.0,6.0,119615.0,League Play: Week 7,Ascent,184492.0,17,No,win
DFM,0.0,4.0,0.0,3.0,1.0,4.0,1.0,6.0,2.0,119615.0,League Play: Week 7,Ascent,184492.0,17,No,lose
PRX,1.0,3.0,1.0,0.0,0.0,4.0,3.0,13.0,9.0,119617.0,League Play: Week 8,Split,184493.0,20,No,win
