team,pb_phase,map,tourney_type,match_id,game_id
ZETA,ban,Bind,League Play: Week 8,184498,0
GEN,pick,Haven,League Play: Week 8,184498,119632
ZETA,pick,Ascent,League Play: Week 8,184498,119633
GEN,ban,Lotus,League Play: Week 8,184498,0
ZETA,ban,Split,League Play: Week 8,184498,0
T1,ban,Split,League Play: Week 8,184499,0
DRX,ban,Lotus,League Play: Week 8,184499,0
T1,pick,Bind,League Play: Week 8,184499,119635
DRX,pick,Pearl,League Play: Week 8,184499,119636
T1,ban,Haven,League Play: Week 8,184499,0
DRX,ban,Fracture,League Play: Week 8,184499,0
TS,ban,Pearl,League Play: Week 8,184500,0
GES,ban,Fracture,League Play: Week 8,184500,0
TS,pick,Haven,League Play: Week 8,184500,119638
GES,pick,Lotus,League Play: Week 8,184500,119639
TS,ban,Split,League Play: Week 8,184500,0
GES,ban,Ascent,League Play: Week 8,184500,0
TLN,ban,Ascent,League Play: Week 8,184501,0
DFM,ban,Haven,League Play: Week 8,184501,0
TLN,pick,Lotus,League Play: Week 8,184501,119641
DFM,pick,Bind,League Play: Week 8,184501,119642
TLN,ban,Split,League Play: Week 8,184501,0
DFM,ban,Pearl,League Play: Week 8,184501,0
RRQ,ban,Lotus,League Play: Week 8,184502,0
PRX,ban,Haven,League Play: Week 8,184502,0
RRQ,pick,Bind,League Play: Week 8,184502,119644
PRX,pick,Pearl,League Play: Week 8,184502,119645
RRQ,ban,Split,League Play: Week 8,184502,0
PRX,ban,Ascent,League Play: Week 8,184502,0
T1,ban,Split,Playoffs: Upper Round 1,184514,0
GEN,ban,Pearl,Playoffs: Upper Round 1,184514,0
T1,pick,Fracture,Playoffs: Upper Round 1,184514,119680
GEN,pick,Ascent,Playoffs: Upper Round 1,184514,119681
T1,ban,Haven,Playoffs: Upper Round 1,184514,0
GEN,ban,Bind,Playoffs: Upper Round 1,184514,0
TS,ban,Pearl,Playoffs: Upper Semifinals,184515,0
DRX,ban,Lotus,Playoffs: Upper Semifinals,184515,0
TS,pick,Haven,Playoffs: Upper Semifinals,184515,119683
DRX,pick,Split,Playoffs: Upper Semifinals,184515,119684
TS,ban,Fracture,Playoffs: Upper Semifinals,184515,0
DRX,ban,Ascent,Playoffs: Upper Semifinals,184515,0
