player,opponent,team,opponent_team,kill,death,tourney_type,match_id,map,game_id,total_round,ot,win_lose,agent,role_agent
AYRIN,Sayaplayer,GES,T1,3.0,4.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Killjoy,Sentinel
Monyet,Sayaplayer,GES,T1,3.0,1.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Astra,Controller
WRONSKI,Sayaplayer,GES,T1,2.0,2.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Kayo,Initiator
t3xture,Sayaplayer,GES,T1,3.0,4.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Jett,Duelist
Bazzi,Sayaplayer,GES,T1,1.0,4.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Fade,Initiator
AYRIN,iNTRO,GES,T1,1.0,3.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Killjoy,Sentinel
Monyet,iNTRO,GES,T1,1.0,4.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Astra,Controller
t3xture,iNTRO,GES,T1,2.0,2.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Jett,Duelist
Bazzi,iNTRO,GES,T1,2.0,2.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Fade,Initiator
AYRIN,xeta,GES,T1,1.0,1.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Killjoy,Sentinel
WRONSKI,xeta,GES,T1,2.0,1.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Kayo,Initiator
Bazzi,xeta,GES,T1,4.0,4.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Fade,Initiator
AYRIN,Carpe,GES,T1,4.0,4.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Killjoy,Sentinel
Monyet,Carpe,GES,T1,2.0,3.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Astra,Controller
WRONSKI,Carpe,GES,T1,2.0,4.0,League Play: Week 1,184457.0,Pearl,119515.0,21.0,No,lose,Kayo,Initiator
